team_id,team,simulation_run,results
0,Peterborough Strikers,1,141
0,Peterborough Strikers,2,154
0,Peterborough Strikers,3,131
0,Peterborough Strikers,4,157
0,Peterborough Strikers,5,131
0,Peterborough Strikers,6,146
0,Peterborough Strikers,7,143
0,Peterborough Strikers,8,140
0,Peterborough Strikers,9,137
0,Peterborough Strikers,10,187
0,Peterborough Strikers,11,163
0,Peterborough Strikers,12,158
0,Peterborough Strikers,13,171
0,Peterborough Strikers,14,182
0,Peterborough Strikers,15,154
0,Peterborough Strikers,16,169
0,Peterborough Strikers,17,173
0,Peterborough Strikers,18,143
0,Peterborough Strikers,19,148
0,Peterborough Strikers,20,152
0,Peterborough Strikers,21,113
0,Peterborough Strikers,22,149
0,Peterborough Strikers,23,157
0,Peterborough Strikers,24,168
0,Peterborough Strikers,25,175
0,Peterborough Strikers,26,167
0,Peterborough Strikers,27,162
0,Peterborough Strikers,28,164
0,Peterborough Strikers,29,182
0,Peterborough Strikers,30,140
0,Peterborough Strikers,31,161
0,Peterborough Strikers,32,153
0,Peterborough Strikers,33,125
0,Peterborough Strikers,34,196
0,Peterborough Strikers,35,170
0,Peterborough Strikers,36,173
0,Peterborough Strikers,37,128
0,Peterborough Strikers,38,167
0,Peterborough Strikers,39,151
0,Peterborough Strikers,40,190
0,Peterborough Strikers,41,171
0,Peterborough Strikers,42,182
0,Peterborough Strikers,43,166
0,Peterborough Strikers,44,157
0,Peterborough Strikers,45,150
0,Peterborough Strikers,46,144
0,Peterborough Strikers,47,117
0,Peterborough Strikers,48,142
0,Peterborough Strikers,49,170
0,Peterborough Strikers,50,156
0,Peterborough Strikers,51,143
0,Peterborough Strikers,52,137
0,Peterborough Strikers,53,166
0,Peterborough Strikers,54,143
0,Peterborough Strikers,55,202
0,Peterborough Strikers,56,136
0,Peterborough Strikers,57,147
0,Peterborough Strikers,58,154
0,Peterborough Strikers,59,163
0,Peterborough Strikers,60,146
0,Peterborough Strikers,61,169
0,Peterborough Strikers,62,153
0,Peterborough Strikers,63,183
0,Peterborough Strikers,64,151
0,Peterborough Strikers,65,174
0,Peterborough Strikers,66,133
0,Peterborough Strikers,67,154
0,Peterborough Strikers,68,161
0,Peterborough Strikers,69,123
0,Peterborough Strikers,70,142
0,Peterborough Strikers,71,156
0,Peterborough Strikers,72,159
0,Peterborough Strikers,73,124
0,Peterborough Strikers,74,128
0,Peterborough Strikers,75,163
0,Peterborough Strikers,76,144
0,Peterborough Strikers,77,153
0,Peterborough Strikers,78,189
0,Peterborough Strikers,79,146
0,Peterborough Strikers,80,117
0,Peterborough Strikers,81,173
0,Peterborough Strikers,82,166
0,Peterborough Strikers,83,114
0,Peterborough Strikers,84,146
0,Peterborough Strikers,85,178
0,Peterborough Strikers,86,152
0,Peterborough Strikers,87,170
0,Peterborough Strikers,88,158
0,Peterborough Strikers,89,181
0,Peterborough Strikers,90,145
0,Peterborough Strikers,91,150
0,Peterborough Strikers,92,169
0,Peterborough Strikers,93,163
0,Peterborough Strikers,94,179
0,Peterborough Strikers,95,171
0,Peterborough Strikers,96,174
0,Peterborough Strikers,97,170
0,Peterborough Strikers,98,166
0,Peterborough Strikers,99,108
0,Peterborough Strikers,100,164
1,Huddersfield Heat,1,160
1,Huddersfield Heat,2,172
